symbol,date,open,high,low,close,volume,adjusted
SPY,2018-11-30,273.809998,276.279999,273.450012,275.649994,98204200,271.527222
SPY,2018-12-03,280.279999,280.399994,277.51001,279.299988,103176300,275.122589
SPY,2018-12-04,278.369995,278.850006,269.899994,270.25,177986000,266.207977
SPY,2018-12-06,265.920013,269.970001,262.440002,269.839996,204185400,265.804108
SPY,2018-12-07,269.459991,271.220001,262.630005,263.570007,161018900,259.627899
SPY,2018-12-10,263.369995,265.160004,258.619995,264.070007,151445900,260.120422
SPY,2018-12-11,267.660004,267.869995,262.480011,264.130005,121504400,260.179504
SPY,2018-12-12,267.470001,269,265.369995,265.459991,97976700,261.489624
SPY,2018-12-13,266.519989,267.48999,264.119995,265.369995,96662700,261.40094
SPY,2018-12-14,262.959991,264.029999,259.850006,260.470001,116961100,256.574249
SPY,2018-12-17,259.399994,260.649994,253.529999,255.360001,165492300,251.54068
SPY,2018-12-18,257.200012,257.950012,253.279999,255.080002,134515100,251.264862
SPY,2018-12-19,255.169998,259.399994,249.350006,251.259995,214992800,247.501999
SPY,2018-12-20,249.860001,251.619995,244.649994,247.169998,252053400,243.473175
SPY,2018-12-21,246.740005,249.710007,239.979996,240.699997,255345600,238.484512
SPY,2018-12-24,239.039993,240.839996,234.270004,234.339996,147311600,232.18306
SPY,2018-12-26,235.970001,246.179993,233.759995,246.179993,218485400,243.914063
SPY,2018-12-27,242.570007,248.289993,238.960007,248.070007,186267300,245.786697
SPY,2018-12-28,249.580002,251.399994,246.449997,247.75,153100200,245.469635
SPY,2018-12-31,249.559998,250.190002,247.470001,249.919998,144299400,247.619644
IWM,2018-11-30,151.460007,152.860001,151.080002,152.619995,20304700,151.173599
IWM,2018-12-03,154.389999,154.479996,152.020004,154.080002,23379800,152.619751
IWM,2018-12-04,153.75,154.130005,147.139999,147.520004,41077900,146.121948
IWM,2018-12-06,145.449997,147.199997,143.429993,147.199997,37581200,145.804962
IWM,2018-12-07,147.139999,148.259995,143.270004,144.020004,28525100,142.655106
IWM,2018-12-10,144.270004,144.720001,141.449997,143.600006,30776600,142.23909
IWM,2018-12-11,145.679993,146.190002,142.389999,143.449997,29229300,142.090515
IWM,2018-12-12,144.880005,146.759995,144.759995,144.820007,27894800,143.447525
IWM,2018-12-13,145.240005,145.690002,142.539993,142.770004,23205400,141.416962
IWM,2018-12-14,141.729996,143.229996,140.100006,140.610001,24037200,139.27742
IWM,2018-12-17,139.669998,140.880005,136.160004,137.020004,36468500,136.175659
IWM,2018-12-18,138.259995,139.179993,136.289993,136.850006,42277200,136.006714
IWM,2018-12-19,136.800003,138.679993,133.25,134,47676600,133.174271
IWM,2018-12-20,133.630005,134.410004,130.229996,131.789993,57908100,130.977875
IWM,2018-12-21,132.380005,132.949997,127.980003,128.369995,59404800,127.578957
IWM,2018-12-24,127.730003,128.470001,125.839996,125.879997,28575700,125.104301
IWM,2018-12-26,126.279999,132.100006,125.809998,131.929993,40182700,131.11702
IWM,2018-12-27,130.270004,132.479996,127.870003,132.479996,39527900,131.66362
IWM,2018-12-28,132.479996,135.009995,131.539993,132.860001,35994400,132.041306
IWM,2018-12-31,133.720001,134.050003,131.800003,133.899994,29173400,133.074875
QQQ,2018-11-30,168.380005,169.470001,167.539993,169.369995,36722800,168.208099
QQQ,2018-12-03,173.110001,173.309998,169.509995,172.330002,50771700,171.147797
QQQ,2018-12-04,171.429993,171.910004,165.520004,165.720001,70594700,164.58313
QQQ,2018-12-06,162.380005,166.910004,161.770004,166.889999,71715500,165.745117
QQQ,2018-12-07,166.160004,167.119995,160.860001,161.380005,80432200,160.272919
QQQ,2018-12-10,161.080002,163.779999,159.410004,163.070007,73960800,161.95134
QQQ,2018-12-11,165.729996,165.770004,162.229996,163.610001,59058300,162.48761
QQQ,2018-12-12,166,167.600006,164.960007,165.050003,53780000,163.917755
QQQ,2018-12-13,166.130005,166.820007,164.029999,165.100006,46378500,163.967392
QQQ,2018-12-14,163.210007,163.809998,160.699997,161.080002,56547400,159.974976
QQQ,2018-12-17,160.389999,161.669998,156.169998,157.429993,74834100,156.350006
QQQ,2018-12-18,158.649994,159.949997,157.039993,158.419998,63642100,157.333221
QQQ,2018-12-19,158.179993,160.720001,153.339996,154.529999,81856500,153.46991
QQQ,2018-12-20,154.149994,155.869995,150.389999,152.289993,99002100,151.24527
QQQ,2018-12-21,153.050003,154.089996,146.720001,147.570007,141129400,146.557663
QQQ,2018-12-24,146.080002,147.979996,143.460007,143.5,56163300,142.923325
QQQ,2018-12-26,145.080002,152.539993,144.089996,152.460007,98982100,151.847321
QQQ,2018-12-27,150.369995,153.179993,147.080002,153.050003,85824300,152.434952
QQQ,2018-12-28,154.149994,155.589996,151.720001,152.970001,77856600,152.355255
QQQ,2018-12-31,154.470001,154.979996,152.710007,154.259995,53015300,153.640076
DIA,2018-11-30,253.100006,255.839996,252.830002,255.509995,2991800,251.157043
DIA,2018-12-03,260.170013,260.299988,257.019989,258.730011,9544200,254.322189
DIA,2018-12-04,257.640015,258.040009,250.380005,250.729996,5376900,246.458496
DIA,2018-12-06,246.360001,249.869995,242.820007,249.720001,8232800,245.465698
DIA,2018-12-07,249.660004,251.410004,243.289993,244.309998,5963700,240.147842
DIA,2018-12-10,243.940002,245.490005,239.25,244.710007,6021000,240.541061
DIA,2018-12-11,248.440002,248.5,242.660004,244.229996,5646500,240.069214
DIA,2018-12-12,247.389999,248.759995,245.649994,245.880005,3734800,241.691116
DIA,2018-12-13,246.419998,247.860001,245.169998,246.270004,4455300,242.074463
DIA,2018-12-14,244.059998,244.830002,240.820007,241.419998,6591200,237.307129
DIA,2018-12-17,240.039993,241.399994,235.050003,236.429993,7036700,232.402084
DIA,2018-12-18,238.440002,239.809998,235.669998,237.360001,5349600,233.316284
DIA,2018-12-19,237.550003,241.199997,232.070007,233.419998,9545700,229.443375
DIA,2018-12-20,232.589996,233.369995,226.949997,228.889999,11912800,224.990601
DIA,2018-12-21,229.009995,232.470001,223.850006,224.089996,10242700,220.866776
DIA,2018-12-24,222.5,223.309998,217.880005,218.100006,7024000,214.962906
DIA,2018-12-26,219.190002,228.740005,216.970001,228.710007,9761100,225.420319
DIA,2018-12-27,225.539993,231.369995,222.529999,231.259995,7952000,227.933624
DIA,2018-12-28,232.710007,233.809998,229.669998,230.479996,7266800,227.164841
DIA,2018-12-31,232.330002,233.259995,231.050003,233.199997,5079600,229.845718
