execution_date,direction,quantity,underlying,type,strike,expiration,d2x,trade_price
2017-12-15,sell,1,SPY,call,270,2018-01-19,22,1.1399999856948853
2018-01-19,sell,1,SPY,call,284,2018-02-16,20,1.2699999809265137
2018-02-16,sell,1,SPY,call,278,2018-03-16,19,1.9500000476837158
2018-03-16,sell,1,SPY,call,280,2018-04-20,24,1.5700000524520874
2018-04-20,sell,1,SPY,call,272,2018-05-18,20,1.7100000381469727
2018-05-18,sell,1,SPY,call,275,2018-06-15,19,1.4600000381469727
2018-06-15,sell,1,SPY,call,281,2018-07-20,24,1.4800000190734863
2018-07-20,sell,1,SPY,call,283,2018-08-17,20,1.350000023841858
2018-08-17,sell,1,SPY,call,289,2018-09-21,24,1.3899999856948853
2018-09-21,sell,1,SPY,call,296,2018-10-19,20,1.149999976158142
2018-10-19,sell,1,SPY,call,283,2018-11-16,20,1.8700000047683716
2018-11-16,sell,1,SPY,call,281,2018-12-21,24,2.25
