trade_date,vix_009,vix_030,vix_090,vix_180,spy_ret
2011-01-03,16.04,17.61,20.62,23.4,0.010337925833438621
2011-01-04,16.06,17.38,20.61,23.19,-5.508087523257155e-4
2011-01-05,15.57,17.02,20.05,22.78,0.005197748062819141
2011-01-06,15.71,17.4,20.35,22.87,-0.0019586978052354986
2011-01-07,15.01,17.14,20.29,22.92,-0.001962393527070172
2011-01-10,15.81,17.54,20.48,22.93,-0.0012585536470124392
2011-01-11,14.93,16.89,20.14,22.71,0.0035439461852675436
2011-01-12,14.82,16.24,19.23,21.94,0.009024416986839867
2011-01-13,14.92,16.39,19.2,21.91,-0.0016329563933541458
2011-01-14,14.3,15.46,18.37,21.33,0.007244401649592058
2011-01-18,16.34,15.87,18.38,21.29,0.0017014680877818211
2011-01-19,17.74,17.31,19.64,22.04,-0.009805252324444291
2011-01-20,16.98,17.99,19.9,22.15,-0.0013257720434598497
2011-01-21,17.32,18.47,19.97,22.25,0.00226454299521639
2011-01-24,17.38,17.65,19.58,21.98,0.005686536528857866
2011-01-25,17.75,17.59,19.34,21.82,5.42053109497509e-4
2011-01-26,16.27,16.64,18.82,21.24,0.0038711324623559307
2011-01-27,15.07,16.15,18.48,20.83,0.0024677043082390604
2011-01-28,21.25,20.04,20.59,22.34,-0.017463022755341395
2011-01-31,20.5,19.53,20.15,21.88,0.007516430389547413
2011-02-01,17.21,17.63,18.97,21.1,0.016008914851826983
2011-02-02,16.83,17.3,19.09,21.22,-0.0019121192292625988
2011-02-03,15.38,16.69,18.92,21,0.0022220944326112324
2011-02-04,14.19,15.93,18.33,20.6,0.002829002196807817
2011-02-07,15.33,16.28,18.26,20.36,0.006252889833731068
2011-02-08,14.56,15.81,17.85,20.08,0.004546104651893534
2011-02-09,14.3,15.87,17.86,20.09,-0.0022627254760515525
2011-02-10,14.53,16.09,18.1,20.16,3.7806097604886624e-4
2011-02-11,14.79,15.69,17.86,19.85,0.005970276076623371
2011-02-14,16.16,15.95,17.94,20.03,0.0024040729970562502
2011-02-15,16.58,16.37,18.27,20.24,-0.0031479973436780995
2011-02-16,16.87,16.72,18.32,20.33,0.006315539710467943
2011-02-17,15.81,16.59,18.63,20.71,0.0029884332917042844
2011-02-18,14.92,16.43,18.9,20.92,0.0020857143942747403
2011-02-22,22.09,20.8,21.32,22.99,-0.020069821239514396
2011-02-23,22.77,22.13,22.47,23.88,-0.0061444379291289986
2011-02-24,21.51,21.32,22.26,23.86,-6.869662028328172e-4
2011-02-25,18.47,19.22,20.57,22.71,0.01069286672989378
2011-02-28,18.3,18.35,20,21.75,0.006196523383851238
2011-03-01,21.59,21.01,21.9,23.31,-0.016672948062134152
2011-03-02,20.78,20.7,21.68,23.29,0.0021386743523366114
2011-03-03,16.85,18.6,20.44,22.29,0.017224373655826408
2011-03-04,17.69,19.06,20.8,22.67,-0.007492300100938376
2011-03-07,20.97,20.66,21.85,23.46,-0.007850859457301573
2011-03-08,19.34,19.82,21.45,23.13,0.008749763571804792
2011-03-09,19.93,20.22,21.82,23.47,-0.0014331034818614308
2011-03-10,22.89,21.88,22.76,24.27,-0.01850595086541773
2011-03-11,19.4,20.08,21.87,23.69,0.006926341546240611
2011-03-14,21.93,21.13,22.49,24,-0.006037800608420518
2011-03-15,25.9,24.32,24.03,25.27,-0.011457100297104006
2011-03-16,31.04,29.4,26.91,27.1,-0.018512717714617932
2011-03-17,28.62,26.37,25.44,26.09,0.013234818542773308
2011-03-18,25.31,24.44,24.34,25.36,0.0036372159053676967
2011-03-21,21.02,20.61,21.95,23.45,0.015497983127647608
