underlying_symbol,underlying_price,type,expiration,data_date,d2x,strike,bid,ask,mid,volume,open_interest,implied_vol,delta
SPY,276.1796875,put,2018-11-16,2018-10-19,20,274,4.239999771118164,4.269999980926514,4.254999876022339,7027,58931,0.17477731501970709,0.4176785222927364
SPY,275.0299987792969,put,2018-11-16,2018-10-22,19,274,4.28000020980835,4.309999942779541,4.295000076293945,3174,58861,0.16728395186153594,0.4418938335582622
SPY,273.5199890136719,put,2018-11-16,2018-10-23,18,274,5.090000152587891,5.139999866485596,5.115000009536743,32932,59467,0.17649209219571077,0.4880311950732077
SPY,265.2099914550781,put,2018-11-16,2018-10-24,17,274,9.59000015258789,10.199999809265137,9.894999980926514,11461,49153,0.1905243777061343,0.7037966879818829
SPY,270.010009765625,put,2018-11-16,2018-10-25,16,274,8.109999656677246,8.1899995803833,8.149999618530273,3394,44592,0.19650928668118106,0.6322418409662438
SPY,265.2200012207031,put,2018-11-16,2018-10-26,15,274,9.930000305175781,10.260000228881836,10.095000267028809,2387,44294,0.20284879624067373,0.7111288935500211
SPY,263.69000244140625,put,2018-11-16,2018-10-29,14,274,11.390000343322754,11.859999656677246,11.625,741,43408,0.19323794734321972,0.79217167070302
SPY,267.8800048828125,put,2018-11-16,2018-10-30,13,274,8.289999961853027,8.369999885559082,8.329999923706055,1365,43202,0.19942172202244268,0.6733326621660893
SPY,270.69000244140625,put,2018-11-16,2018-10-31,12,274,5.940000057220459,6,5.9700000286102295,1392,42929,0.18598642163012066,0.5929903575885884
SPY,273.3699951171875,put,2018-11-16,2018-11-01,11,274,4.239999771118164,4.269999980926514,4.254999876022339,2677,42731,0.1759462415478186,0.5113770623059453
SPY,271.79998779296875,put,2018-11-16,2018-11-02,10,274,4.760000228881836,4.829999923706055,4.795000076293945,3379,42250,0.1781160433817352,0.5640262758944603
SPY,273.4700012207031,put,2018-11-16,2018-11-05,9,274,3.6600000858306885,3.690000057220459,3.6750000715255737,1463,42069,0.17721391607633316,0.4945806375426627
SPY,275.1099853515625,put,2018-11-16,2018-11-06,8,274,2.8299999237060547,2.869999885559082,2.8499999046325684,7659,41989,0.18506768740422921,0.4213021054963684
SPY,281,put,2018-11-16,2018-11-07,7,274,0.6899999976158142,0.699999988079071,0.6949999928474426,14659,42503,0.16461756043639159,0.1671567290736704
SPY,280.4800109863281,put,2018-11-16,2018-11-08,6,274,0.6600000262260437,0.6700000166893005,0.6650000214576721,4329,44655,0.16694795375096858,0.17004142305971814
SPY,277.82000732421875,put,2018-11-16,2018-11-09,5,274,1.0700000524520874,1.090000033378601,1.0800000429153442,19481,45384,0.16276675564265478,0.2729603593545449
SPY,272.4794921875,put,2018-11-16,2018-11-12,4,274,2.9600000381469727,3.009999990463257,2.9850000143051147,19070,45631,0.17425235524192836,0.5683824548446539
SPY,272.0400085449219,put,2018-11-16,2018-11-13,3,274,3.130000114440918,3.200000047683716,3.165000081062317,11396,43884,0.17382921431735526,0.6409090694611632
SPY,270.1499938964844,put,2018-11-16,2018-11-14,2,274,4.630000114440918,4.739999771118164,4.684999942779541,21398,45396,0.19468321900856272,0.8113358880043563
SPY,273.010009765625,put,2018-11-16,2018-11-15,1,274,1.75,1.809999942779541,1.7799999713897705,12187,43941,0.17984126915567222,0.6204756666373263
SPY,273.7300109863281,put,2018-11-16,2018-11-16,0,274,0.269989013671875,0.269989013671875,0.269989013671875,45242,40189,0,1
