date,open,high,low,close,volume,adjusted
2014-01-02,14.32,14.59,14,14.23,0,14.23
2014-01-03,14.06,14.22,13.57,13.76,0,13.76
2014-01-06,13.41,14,13.22,13.55,0,13.55
2014-01-07,12.38,13.28,12.16,12.92,0,12.92
2014-01-08,13.04,13.24,12.86,12.87,0,12.87
2014-01-09,12.83,13.26,12.83,12.89,0,12.89
2014-01-10,12.6,12.9,12.14,12.14,0,12.14
2014-01-13,12.18,13.65,11.82,13.28,0,13.28
2014-01-14,12.89,12.9,11.96,12.28,0,12.28
2014-01-15,12.15,12.4,11.81,12.28,0,12.28
2014-01-16,12.32,12.66,12.28,12.53,0,12.53
2014-01-17,12.34,12.93,12.04,12.44,0,12.44
2014-01-21,12.63,13.42,12.61,12.87,0,12.87
2014-01-22,12.57,13.12,12.55,12.84,0,12.84
2014-01-23,13.67,14.66,13.67,13.77,0,13.77
2014-01-24,14.95,18.139999,14.92,18.139999,0,18.139999
2014-01-27,17.290001,18.99,16.85,17.42,0,17.42
2014-01-28,17.27,17.280001,15.8,15.8,0,15.8
2014-01-29,17.950001,18.040001,16.709999,17.35,0,17.35
2014-01-30,16.370001,17.389999,15.96,17.290001,0,17.290001
2014-01-31,18.709999,18.99,17.27,18.41,0,18.41
2014-02-03,18.57,21.48,18.34,21.440001,0,21.440001
2014-02-04,19.99,20.07,18.440001,19.110001,0,19.110001
2014-02-05,19.59,20.719999,19.129999,19.950001,0,19.950001
2014-02-06,19.09,19.09,17.09,17.23,0,17.23
2014-02-07,16.15,16.309999,15.09,15.29,0,15.29
2014-02-10,15.63,15.76,15.1,15.26,0,15.26
2014-02-11,15.29,15.29,14.08,14.51,0,14.51
2014-02-12,14.31,14.64,14.02,14.3,0,14.3
2014-02-13,15.24,15.24,13.98,14.14,0,14.14
2014-02-14,14.21,14.22,13.44,13.57,0,13.57
2014-02-18,13.95,14.51,13.77,13.87,0,13.87
2014-02-19,14.85,15.73,14.12,15.5,0,15.5
2014-02-20,15.28,15.8,14.59,14.79,0,14.79
2014-02-21,14.74,14.79,14.19,14.68,0,14.68
2014-02-24,14.83,14.83,13.97,14.23,0,14.23
2014-02-25,14.17,14.83,13.66,13.67,0,13.67
2014-02-26,13.83,14.54,13.73,14.35,0,14.35
2014-02-27,14.56,14.69,13.92,14.04,0,14.04
2014-02-28,14.22,14.79,13.49,14,0,14
2014-03-03,16.469999,16.780001,15.38,16,0,16
2014-03-04,14.53,14.54,14,14.1,0,14.1
2014-03-05,14.13,14.32,13.81,13.89,0,13.89
2014-03-06,13.82,14.42,13.73,14.21,0,14.21
2014-03-07,13.51,14.43,13.51,14.11,0,14.11
2014-03-10,14.76,15.28,14.2,14.2,0,14.2
2014-03-11,14.22,14.93,13.84,14.8,0,14.8
2014-03-12,15.37,15.64,14.43,14.47,0,14.47
2014-03-13,14.28,16.66,14.24,16.219999,0,16.219999
2014-03-14,16.74,18.219999,16.09,17.82,0,17.82
2014-03-17,16.389999,16.4,15.37,15.64,0,15.64
